Category,Service Name,Knowledge Depth,Problem Solved,Scenario & Solution
Management and Governance,Amazon CloudWatch,0,Monitor resources and applications,Q: Alert when CPU >80% for 5 minutes. A: Use CloudWatch alarms with SNS notification
Management and Governance,Amazon CloudWatch Logs,0,Centralized log collection and analysis,Q: Search application logs from 50 servers. A: Use CloudWatch Logs with log groups and filters
Management and Governance,AWS Command Line Interface (AWS CLI),1,Manage AWS services from command line,Q: Automate resource provisioning with scripts. A: Use AWS CLI for programmatic access
Management and Governance,AWS Compute Optimizer,1,ML-based resource optimization recommendations,Q: Right-size EC2 instances to reduce costs. A: Use Compute Optimizer for instance type recommendations
Management and Governance,AWS Config,0,Track resource configuration changes and compliance,Q: Ensure all S3 buckets have encryption. A: Use Config rules for compliance monitoring
Management and Governance,AWS Control Tower,1,Set up and govern multi-account AWS environment,Q: Create 50 accounts with security baselines. A: Use Control Tower for automated account factory
Management and Governance,AWS Health Dashboard,2,View AWS service health and notifications,Q: Get alerts for EC2 maintenance. A: Use Health Dashboard for service-specific notifications
Management and Governance,AWS License Manager,2,Manage software licenses across AWS,Q: Track Windows Server license usage. A: Use License Manager for license tracking and enforcement
Management and Governance,Amazon Managed Grafana,2,Managed Grafana for metrics visualization,Q: Create dashboards for Prometheus data. A: Use Managed Grafana for pre-configured visualization
Management and Governance,Amazon Managed Service for Prometheus,2,Managed Prometheus for container metrics,Q: Monitor Kubernetes without operating Prometheus. A: Use Managed Prometheus with auto-scaling
Management and Governance,AWS Management Console,1,Web interface for managing AWS services,Q: Visual interface for occasional admin tasks. A: Use Management Console for GUI-based management
Management and Governance,AWS Organizations,0,Centrally manage multiple AWS accounts,Q: Consolidated billing for 20 accounts with SCPs. A: Use Organizations for account hierarchy and policies
Management and Governance,AWS Proton,2,Automated infrastructure for container/serverless apps,Q: Standardize deployment templates for teams. A: Use Proton for self-service infrastructure provisioning
Management and Governance,AWS Service Catalog,1,Create approved IT service catalogs,Q: Let users launch pre-approved stacks. A: Use Service Catalog for governed self-service
Management and Governance,Service Quotas,1,View and manage service limits,Q: Request VPC limit increase. A: Use Service Quotas console for limit management
Management and Governance,AWS Systems Manager,1,Operational hub for AWS resources,Q: Patch 100 EC2 instances monthly. A: Use Systems Manager Patch Manager for automated patching
Management and Governance,AWS Trusted Advisor,1,"Best practice recommendations (cost, security, performance)",Q: Find underutilized resources. A: Use Trusted Advisor for optimization recommendations
Management and Governance,AWS Well-Architected Tool,1,Review architecture against AWS best practices,Q: Assess workload for security gaps. A: Use Well-Architected Tool for pillar-based review
Media Services,Amazon Elastic Transcoder,2,Convert media files to various formats,Q: Convert videos for different devices. A: Use Elastic Transcoder for media format conversion
Media Services,Amazon Kinesis Video Streams,2,Stream video from devices to AWS,Q: Stream security camera footage for analysis. A: Use Kinesis Video Streams for video ingestion
Migration and Transfer,AWS Application Discovery Service,1,Discover on-premises resources for migration planning,Q: Inventory datacenter before cloud migration. A: Use Application Discovery for dependency mapping
Migration and Transfer,AWS Application Migration Service,1,Lift-and-shift migration with minimal downtime,Q: Migrate 50 physical servers to AWS. A: Use Application Migration Service for automated replication
Migration and Transfer,AWS Database Migration Service (AWS DMS),0,Migrate databases with minimal downtime,Q: Migrate Oracle to Aurora PostgreSQL. A: Use DMS with Schema Conversion Tool for heterogeneous migration
Migration and Transfer,AWS DataSync,1,Automate data transfer to/from AWS,Q: Sync on-prem NFS to EFS daily. A: Use DataSync for scheduled data transfer with bandwidth throttling
Migration and Transfer,AWS Migration Hub,2,Track migration progress across tools,Q: Monitor status of 100 server migrations. A: Use Migration Hub for centralized tracking
Migration and Transfer,AWS Schema Conversion Tool (AWS SCT),1,Convert database schemas between engines,Q: Convert Oracle procedures to PostgreSQL. A: Use SCT to assess and convert schema
Migration and Transfer,AWS Snow Family,1,Physical data transfer for large datasets,Q: Transfer 100TB to AWS from limited bandwidth site. A: Use Snowball Edge for offline data transfer
Migration and Transfer,AWS Transfer Family,1,SFTP/FTPS/FTP access to S3/EFS,Q: Partners upload files via SFTP to S3. A: Use Transfer Family for managed SFTP with S3 backend
Networking and Content Delivery,Amazon CloudFront,0,Global CDN for low-latency content delivery,Q: Distribute static assets worldwide with low latency. A: Use CloudFront for edge caching
Networking and Content Delivery,AWS Direct Connect,0,Dedicated network connection to AWS,Q: Need consistent 10Gbps to AWS for hybrid cloud. A: Use Direct Connect for private connectivity
Networking and Content Delivery,Elastic Load Balancing (ELB),0,Distribute traffic across multiple targets,Q: Load balance HTTPS traffic to EC2 instances. A: Use ALB with path-based routing and SSL termination
Networking and Content Delivery,AWS Global Accelerator,1,Improve global application availability and performance,Q: Reduce latency for global users using static IPs. A: Use Global Accelerator for anycast routing
Networking and Content Delivery,AWS PrivateLink,0,Private connectivity to services without internet,Q: Access S3 from VPC without NAT/IGW. A: Use PrivateLink VPC endpoints for private access
Networking and Content Delivery,Amazon Route 53,0,Scalable DNS with health checks and routing policies,Q: DNS failover between regions. A: Use Route 53 with health checks and failover routing
Networking and Content Delivery,AWS Transit Gateway,0,Connect thousands of VPCs and on-premises networks,Q: Hub-and-spoke network for 50 VPCs. A: Use Transit Gateway for centralized routing
Networking and Content Delivery,Amazon Virtual Private Cloud (Amazon VPC),0,Isolated virtual network for AWS resources,Q: Launch resources in private network with subnets. A: Use VPC with public/private subnets and NAT
Networking and Content Delivery,AWS VPN,0,Encrypted connection between on-premises and AWS,Q: Secure connection from office to VPC. A: Use Site-to-Site VPN for encrypted tunnel
Security Identity and Compliance,AWS Artifact,2,Access compliance reports and agreements,Q: Download SOC 2 report for audit. A: Use Artifact for on-demand compliance documentation
Security Identity and Compliance,AWS Audit Manager,1,Automate audit evidence collection,Q: Prepare for PCI DSS audit. A: Use Audit Manager for continuous compliance assessment
Security Identity and Compliance,AWS Certificate Manager (ACM),1,Provision and manage SSL/TLS certificates,Q: Free SSL certificate for ALB. A: Use ACM for automated certificate provisioning and renewal
Security Identity and Compliance,AWS CloudHSM,1,Hardware security module for key management,Q: FIPS 140-2 Level 3 compliance for keys. A: Use CloudHSM for dedicated HSM appliance
Security Identity and Compliance,Amazon Cognito,1,User authentication and authorization for apps,Q: Add sign-up/sign-in to mobile app. A: Use Cognito for user pools with OAuth/SAML
Security Identity and Compliance,Amazon Detective,2,Analyze security findings and investigate incidents,Q: Investigate GuardDuty finding root cause. A: Use Detective for visual security investigation
Security Identity and Compliance,AWS Directory Service,1,Managed Active Directory in AWS,Q: Domain join EC2 instances. A: Use Directory Service for managed Microsoft AD
Security Identity and Compliance,AWS Firewall Manager,1,Centrally configure firewall rules across accounts,Q: Apply WAF rules to all ALBs in Organization. A: Use Firewall Manager for centralized security policies
Security Identity and Compliance,Amazon GuardDuty,1,Threat detection using ML,Q: Detect compromised EC2 instances. A: Use GuardDuty for continuous threat monitoring
Security Identity and Compliance,AWS IAM Identity Center,1,Single sign-on across AWS accounts and apps,Q: SSO for employees across 20 AWS accounts. A: Use IAM Identity Center for centralized access
Security Identity and Compliance,AWS Identity and Access Management (IAM),0,Manage access to AWS services securely,Q: Grant least-privilege access to developers. A: Use IAM roles and policies for fine-grained permissions
Security Identity and Compliance,Amazon Inspector,1,Automated security assessment for EC2/containers,Q: Scan EC2 for vulnerabilities. A: Use Inspector for automated security assessments
Security Identity and Compliance,AWS Key Management Service (AWS KMS),0,Create and control encryption keys,Q: Encrypt S3 data with customer-managed keys. A: Use KMS for centralized key management
Security Identity and Compliance,Amazon Macie,1,Discover and protect sensitive data in S3,Q: Find PII in S3 buckets. A: Use Macie for automated sensitive data discovery
Security Identity and Compliance,AWS Network Firewall,1,Managed firewall for VPC traffic filtering,Q: IDS/IPS and domain filtering for VPC. A: Use Network Firewall for stateful inspection
Security Identity and Compliance,AWS Resource Access Manager (AWS RAM),1,Share AWS resources across accounts,Q: Share Transit Gateway with other accounts. A: Use RAM for cross-account resource sharing
Security Identity and Compliance,AWS Secrets Manager,0,"Rotate, manage, and retrieve secrets",Q: Rotate RDS password automatically. A: Use Secrets Manager for automatic secret rotation
Security Identity and Compliance,AWS Security Hub,1,Centralized security and compliance view,"Q: Aggregate findings from GuardDuty, Inspector, Macie. A: Use Security Hub for unified security dashboard"
Security Identity and Compliance,AWS Security Token Service (AWS STS),0,Temporary credentials for users/applications,Q: Grant temporary access to federated users. A: Use STS to assume roles with temporary credentials
Security Identity and Compliance,AWS Shield,1,DDoS protection for applications,Q: Protect website from DDoS attacks. A: Use Shield Standard (free) or Advanced (24/7 DRT support)
Security Identity and Compliance,AWS WAF,0,Web application firewall to filter HTTP requests,Q: Block SQL injection and XSS attacks. A: Use WAF with managed rules on ALB/CloudFront
Storage,AWS Backup,1,Centralized backup across AWS services,"Q: Backup all EBS, RDS, DynamoDB with retention policies. A: Use AWS Backup for automated backup management"
Storage,Amazon Elastic Block Store (Amazon EBS),0,Block storage for EC2 instances,Q: Persistent storage for database on EC2. A: Use EBS with provisioned IOPS for high performance
Storage,AWS Elastic Disaster Recovery,1,"Fast, reliable disaster recovery",Q: RPO/RTO in minutes for critical apps. A: Use Elastic Disaster Recovery for continuous replication
Storage,Amazon Elastic File System (Amazon EFS),0,Managed NFS for shared file storage,Q: Shared storage for multiple EC2 instances. A: Use EFS for concurrent access with auto-scaling
Storage,Amazon FSx (for all types),1,"Managed third-party file systems (Lustre, Windows, NetApp)",Q: Windows File Server with SMB access. A: Use FSx for Windows File Server with AD integration
Storage,Amazon Simple Storage Service (Amazon S3),0,Object storage for any amount of data,Q: Store application logs with lifecycle policies. A: Use S3 with Intelligent-Tiering for cost optimization
Storage,Amazon S3 Glacier,1,Low-cost archival storage,Q: Archive compliance data for 7 years. A: Use S3 Glacier Deep Archive for long-term retention
Storage,AWS Storage Gateway,1,Hybrid storage between on-premises and cloud,Q: Extend on-prem storage to S3. A: Use File Gateway for NFS/SMB to S3 integration
